Gene	Cluster
Fbxo28	Cluster_1
Iars2	Cluster_1
Kctd3	Cluster_1
Flvcr1	Cluster_1
Ints7	Cluster_1
Rcor3	Cluster_1
Cr1l	Cluster_1
Dclre1c	Cluster_1
Prpf18	Cluster_1
Ccdc3	Cluster_1
Cdc123	Cluster_1
Nudt5	Cluster_1
Taf3	Cluster_1
Fbh1	Cluster_1
Itga8	Cluster_1
Mindy3	Cluster_1
Hacd1	Cluster_1
Stam	Cluster_1
Nsun6	Cluster_1
Arl5b	Cluster_1
Thnsl1	Cluster_1
Pdss1	Cluster_1
Spopl	Cluster_1
Ssna1	Cluster_1
Npdc1	Cluster_1
Edf1	Cluster_1
Kcnt1	Cluster_1
Camsap1	Cluster_1
Rexo4	Cluster_1
Ntng2	Cluster_1
Med27	Cluster_1
Gle1	Cluster_1
Wdr34	Cluster_1
Set	Cluster_1
Miga2	Cluster_1
Gpr107	Cluster_1
Ncs1	Cluster_1
Nup214	Cluster_1
1110008P14Rik	Cluster_1
Slc25a25	Cluster_1
Dpm2	Cluster_1
Cdk9	Cluster_1
Angptl2	Cluster_1
Psmd5	Cluster_1
Lhx2	Cluster_1
Arpc5l	Cluster_1
Arl5a	Cluster_1
Gpd2	Cluster_1
Acvr1c	Cluster_1
Gm11099	Cluster_1
Gca	Cluster_1
Grb14	Cluster_1
Ttc21b	Cluster_1
Klhl23	Cluster_1
Gorasp2	Cluster_1
Mettl8	Cluster_1
Gpr155	Cluster_1
Mtx2	Cluster_1
Cwc22	Cluster_1
Nup35	Cluster_1
Ypel4	Cluster_1
Nup160	Cluster_1
Ddb2	Cluster_1
Atg13	Cluster_1
Chst1	Cluster_1
Syt13	Cluster_1
Traf6	Cluster_1
Pdhx	Cluster_1
Qser1	Cluster_1
Kcna4	Cluster_1
Mettl15	Cluster_1
Bdnf	Cluster_1
Lin7c	Cluster_1
Ccdc34	Cluster_1
Nop10	Cluster_1
Slc12a6	Cluster_1
Emc7	Cluster_1
Aqr	Cluster_1
Dph6	Cluster_1
BC052040	Cluster_1
Srp14	Cluster_1
Pak6	Cluster_1
Disp2	Cluster_1
Itpka	Cluster_1
Ltk	Cluster_1
Tyro3	Cluster_1
Mapkbp1	Cluster_1
Snap23	Cluster_1
Map1a	Cluster_1
Ckmt1	Cluster_1
Serf2	Cluster_1
