Gene	Cluster
CLUAP1	Cluster_1
CMAS	Cluster_1
CMTM4	Cluster_1
CNBP	Cluster_1
CNEP1R1	Cluster_1
CNNM1	Cluster_1
CNPY3	Cluster_1
COG3	Cluster_1
COG4	Cluster_1
COG6	Cluster_1
COL19A1	Cluster_1
COL25A1	Cluster_1
COL4A1	Cluster_1
COL4A2	Cluster_1
COL6A1	Cluster_1
COPB1	Cluster_1
COPG1	Cluster_1
COPS3	Cluster_1
COPS8	Cluster_1
COQ10B	Cluster_1
COQ2	Cluster_1
COQ3	Cluster_1
CORO2B	Cluster_1
COX11	Cluster_1
COX8A	Cluster_1
CPLX2	Cluster_1
CPNE5	Cluster_1
CPNE6	Cluster_1
CPNE8	Cluster_1
CPNE9	Cluster_1
CPPED1	Cluster_1
CR1	Cluster_1
CREG2	Cluster_1
CRK	Cluster_1
CRMP1	Cluster_1
CROCC	Cluster_1
CRTAC1	Cluster_1
CRTC1	Cluster_1
CSE1L	Cluster_1
CSNK1D	Cluster_1
CSTF2	Cluster_1
CTNNB1	Cluster_1
CTNNBL1	Cluster_1
CTPS2	Cluster_1
CTTN	Cluster_1
CTXN1	Cluster_1
CUL2	Cluster_1
CUL4A	Cluster_1
CUL9	Cluster_1
CUX2	Cluster_1
CWC22	Cluster_1
CXADR	Cluster_1
CYB5A	Cluster_1
CYB5B	Cluster_1
CYB5R4	Cluster_1
CYHR1	Cluster_1
CYP46A1	Cluster_1
CYP7B1	Cluster_1
C4orf33	Cluster_1
DACT2	Cluster_1
DAGLA	Cluster_1
DAGLB	Cluster_1
DARS1	Cluster_1
DCAF10	Cluster_1
DCAF7	Cluster_1
DCAKD	Cluster_1
DCLRE1C	Cluster_1
DCP1A	Cluster_1
DCP1B	Cluster_1
DCTN2	Cluster_1
DCTN6	Cluster_1
DCUN1D1	Cluster_1
DCUN1D2	Cluster_1
DCUN1D3	Cluster_1
DCUN1D4	Cluster_1
DDB2	Cluster_1
RSC1A1	Cluster_1
DDR1	Cluster_1
DDX19B	Cluster_1
DECR2	Cluster_1
DENND2A	Cluster_1
DENND6B	Cluster_1
DEXI	Cluster_1
DGCR8	Cluster_1
DGKE	Cluster_1
DGUOK	Cluster_1
DHX32	Cluster_1
DIAPH1	Cluster_1
DIMT1	Cluster_1
DIRAS2	Cluster_1
DISP2	Cluster_1
DLD	Cluster_1
DLG3	Cluster_1
DNAJB14	Cluster_1
DNAJC15	Cluster_1
DNAJC18	Cluster_1
DNAJC19	Cluster_1
DNAJC21	Cluster_1
DNAJC8	Cluster_1
DNAL1	Cluster_1
DNMBP	Cluster_1
DNTTIP1	Cluster_1
DOK5	Cluster_1
DPF1	Cluster_1
DPH6	Cluster_1
DPM1	Cluster_1
DPM2	Cluster_1
DPY19L3	Cluster_1
DPY19L4	Cluster_1
DRC1	Cluster_1
DROSHA	Cluster_1
DRP2	Cluster_1
DSTN	Cluster_1
DTNBP1	Cluster_1
DTYMK	Cluster_1
DUS4L	Cluster_1
