Gene	Cell
Ap2a2	Micro_C1qc
Aph1a	Micro_C1qc
Apobec3	Micro_C1qc
Arap2	Micro_C1qc
Arhgap24	Micro_C1qc
Arhgdia	Micro_C1qc
Armc8	Micro_C1qc
Armc9	Micro_C1qc
Arpc3	Micro_C1qc
Arpc4	Micro_C1qc
Arpc5l	Micro_C1qc
Arpp19	Micro_C1qc
Arsb	Micro_C1qc
Atp13a2	Micro_C1qc
Atp2b1	Micro_C1qc
Atp6ap1	Micro_C1qc
Atp6v1b2	Micro_C1qc
Atp6v1c1	Micro_C1qc
Atpif1	Micro_C1qc
Atr	Micro_C1qc
Atraid	Micro_C1qc
B9d2	Micro_C1qc
Bag5	Micro_C1qc
Bag6	Micro_C1qc
Bax	Micro_C1qc
Bbs4	Micro_C1qc
Bcap29	Micro_C1qc
Bcap31	Micro_C1qc
Bcas2	Micro_C1qc
Bcl6	Micro_C1qc
Bend6	Micro_C1qc
Bola1	Micro_C1qc
Bptf	Micro_C1qc
Brk1	Micro_C1qc
Brwd3	Micro_C1qc
Btd	Micro_C1qc
Bzw2	Micro_C1qc
C1galt1c1	Micro_C1qc
C2cd5	Micro_C1qc
Cables2	Micro_C1qc
Cacul1	Micro_C1qc
Calm2	Micro_C1qc
Capns1	Micro_C1qc
Cbwd1	Micro_C1qc
Ccdc25	Micro_C1qc
Ccdc28a	Micro_C1qc
Ccdc88a	Micro_C1qc
Cct3	Micro_C1qc
Cct8	Micro_C1qc
Cd3eap	Micro_C1qc
Cd63	Micro_C1qc
Cdc37	Micro_C1qc
Cdk8	Micro_C1qc
Cdpf1	Micro_C1qc
Cds2	Micro_C1qc
Cenpv	Micro_C1qc
Cfap20	Micro_C1qc
Chchd1	Micro_C1qc
Chchd7	Micro_C1qc
Chd4	Micro_C1qc
Chid1	Micro_C1qc
Chkb	Micro_C1qc
Ckap5	Micro_C1qc
Clcn3	Micro_C1qc
Clcn4	Micro_C1qc
Cldnd1	Micro_C1qc
Clptm1l	Micro_C1qc
Cltc	Micro_C1qc
Cluh	Micro_C1qc
Cops6	Micro_C1qc
Coq10a	Micro_C1qc
Cox14	Micro_C1qc
Cox19	Micro_C1qc
Cox6a1	Micro_C1qc
Cpox	Micro_C1qc
Crebzf	Micro_C1qc
Crtc1	Micro_C1qc
Cstb	Micro_C1qc
Ctdnep1	Micro_C1qc
Dap3	Micro_C1qc
Dapk3	Micro_C1qc
Dcaf1	Micro_C1qc
Dctn4	Micro_C1qc
Dctpp1	Micro_C1qc
Ddx27	Micro_C1qc
Dgkh	Micro_C1qc
Dhtkd1	Micro_C1qc
Dlgap1	Micro_C1qc
Dmxl2	Micro_C1qc
Dnaja1	Micro_C1qc
Dnajb11	Micro_C1qc
Dnajb4	Micro_C1qc
Dnajc7	Micro_C1qc
Dnm3	Micro_C1qc
Dph7	Micro_C1qc
Dtd1	Micro_C1qc
Dtx3	Micro_C1qc
Dynlrb1	Micro_C1qc
E2f5	Micro_C1qc
Ebpl	Micro_C1qc
Ech1	Micro_C1qc
Eef1akmt1	Micro_C1qc
Eef1d	Micro_C1qc
Eef1g	Micro_C1qc
Eif1ax	Micro_C1qc
Eif3c	Micro_C1qc
Eif3f	Micro_C1qc
Eif4a1	Micro_C1qc
Elavl4	Micro_C1qc
Elof1	Micro_C1qc
Emc8	Micro_C1qc
Eps8l1	Micro_C1qc
Ergic2	Micro_C1qc
Ero1l	Micro_C1qc
Esd	Micro_C1qc
Ethe1	Micro_C1qc
Exosc8	Micro_C1qc
Faim	Micro_C1qc
Fam3c	Micro_C1qc
Fam49a	Micro_C1qc
Fam98c	Micro_C1qc
Fars2	Micro_C1qc
Fbxo22	Micro_C1qc
Fbxo25	Micro_C1qc
Fbxo45	Micro_C1qc
Fbxw7	Micro_C1qc
Fkbp4	Micro_C1qc
Fnbp1l	Micro_C1qc
G3bp2	Micro_C1qc
Gab1	Micro_C1qc
Gatad1	Micro_C1qc
Gatm	Micro_C1qc
Gca	Micro_C1qc
Gemin7	Micro_C1qc
Gk	Micro_C1qc
Gm16286	Micro_C1qc
Gm16867	Micro_C1qc
Gm2a	Micro_C1qc
Gmpr	Micro_C1qc
Gpat4	Micro_C1qc
Gprasp1	Micro_C1qc
Grina	Micro_C1qc
Grm3	Micro_C1qc
Gtf2h5	Micro_C1qc
Gtpbp3	Micro_C1qc
H2-DMb1	Micro_C1qc
H3f3b	Micro_C1qc
Hacd3	Micro_C1qc
Hagh	Micro_C1qc
Hax1	Micro_C1qc
Hdac11	Micro_C1qc
Hdgfl2	Micro_C1qc
Heca	Micro_C1qc
Hes1	Micro_C1qc
Hexim1	Micro_C1qc
Hgs	Micro_C1qc
Hgsnat	Micro_C1qc
Higd2a	Micro_C1qc
Hk2	Micro_C1qc
Hmgn2	Micro_C1qc
Hnrnpa0	Micro_C1qc
Hnrnpd	Micro_C1qc
Hsd17b11	Micro_C1qc
Hspa5	Micro_C1qc
Hspa9	Micro_C1qc
Hyou1	Micro_C1qc
Idh3b	Micro_C1qc
Ier5	Micro_C1qc
Igf1r	Micro_C1qc
Igip	Micro_C1qc
Igsf6	Micro_C1qc
Il10ra	Micro_C1qc
Il1rap	Micro_C1qc
Imp3	Micro_C1qc
Itpa	Micro_C1qc
Josd1	Micro_C1qc
Jpt1	Micro_C1qc
Kansl1l	Micro_C1qc
Kcnma1	Micro_C1qc
Khsrp	Micro_C1qc
Kif1b	Micro_C1qc
Klf13	Micro_C1qc
Klhl11	Micro_C1qc
Klhl2	Micro_C1qc
Klhl23	Micro_C1qc
Klhl8	Micro_C1qc
Kmt2a	Micro_C1qc
Kptn	Micro_C1qc
Lancl1	Micro_C1qc
Laptm4a	Micro_C1qc
Lars2	Micro_C1qc
Leprotl1	Micro_C1qc
Lgals8	Micro_C1qc
Lin37	Micro_C1qc
Lmnb1	Micro_C1qc
Lonrf1	Micro_C1qc
Lpcat1	Micro_C1qc
Lpgat1	Micro_C1qc
Lpp	Micro_C1qc
Lrrc8a	Micro_C1qc
Lsm4	Micro_C1qc
Lypd6	Micro_C1qc
Lypla2	Micro_C1qc
Lysmd4	Micro_C1qc
Maf1	Micro_C1qc
Magoh	Micro_C1qc
Map3k12	Micro_C1qc
Map3k14	Micro_C1qc
Matk	Micro_C1qc
Mblac2	Micro_C1qc
Mboat7	Micro_C1qc
Mcat	Micro_C1qc
Mcfd2	Micro_C1qc
Mcl1	Micro_C1qc
Mctp1	Micro_C1qc
Me2	Micro_C1qc
Med10	Micro_C1qc
Med21	Micro_C1qc
Med24	Micro_C1qc
Med31	Micro_C1qc
Mff	Micro_C1qc
Mfsd14a	Micro_C1qc
Miga2	Micro_C1qc
Mindy2	Micro_C1qc
Minpp1	Micro_C1qc
Mkrn2	Micro_C1qc
Mpg	Micro_C1qc
Mphosph8	Micro_C1qc
Mppe1	Micro_C1qc
Mrpl13	Micro_C1qc
Mrpl15	Micro_C1qc
Mrpl16	Micro_C1qc
Mrpl19	Micro_C1qc
Mrpl22	Micro_C1qc
Mrpl27	Micro_C1qc
Mrpl32	Micro_C1qc
Mrpl42	Micro_C1qc
Mrpl43	Micro_C1qc
Mrpl46	Micro_C1qc
Mrpl51	Micro_C1qc
Mrpl54	Micro_C1qc
Mrpl9	Micro_C1qc
Mrps14	Micro_C1qc
Mrps25	Micro_C1qc
Mrps7	Micro_C1qc
Msra	Micro_C1qc
Mul1	Micro_C1qc
Myo18b	Micro_C1qc
Naca	Micro_C1qc
Nat8f1	Micro_C1qc
Nav3	Micro_C1qc
Ncoa7	Micro_C1qc
Ndc1	Micro_C1qc
Ndfip2	Micro_C1qc
Ndufa6	Micro_C1qc
Ndufa7	Micro_C1qc
Ndufaf3	Micro_C1qc
Ndufaf5	Micro_C1qc
Ndufaf8	Micro_C1qc
Necap1	Micro_C1qc
Neu1	Micro_C1qc
Nfix	Micro_C1qc
Nin	Micro_C1qc
Nlk	Micro_C1qc
Nmt2	Micro_C1qc
Nomo1	Micro_C1qc
Nr6a1	Micro_C1qc
Nt5m	Micro_C1qc
Nuak1	Micro_C1qc
Nudt4	Micro_C1qc
Nup50	Micro_C1qc
Nus1	Micro_C1qc
Oaz2	Micro_C1qc
Ociad1	Micro_C1qc
Oma1	Micro_C1qc
Orc6	Micro_C1qc
Osbpl1a	Micro_C1qc
Oscp1	Micro_C1qc
Otub1	Micro_C1qc
Pafah1b2	Micro_C1qc
Paip2b	Micro_C1qc
Pbx1	Micro_C1qc
Pcgf5	Micro_C1qc
Pcid2	Micro_C1qc
Pcnx	Micro_C1qc
Pcnx4	Micro_C1qc
