Gene	Cell
COLEC12	Exc_L6_Foxp2
COX6C	Exc_L6_Foxp2
COX8A	Exc_L6_Foxp2
CTNNA3	Exc_L6_Foxp2
CTSB	Exc_L6_Foxp2
DAD1	Exc_L6_Foxp2
DDOST	Exc_L6_Foxp2
FGF1	Exc_L6_Foxp2
FAM205A	Exc_L6_Foxp2
GPR158	Exc_L6_Foxp2
GRID2	Exc_L6_Foxp2
GRIK4	Exc_L6_Foxp2
IKZF2	Exc_L6_Foxp2
KANSL1L	Exc_L6_Foxp2
KCNQ5	Exc_L6_Foxp2
KIRREL3	Exc_L6_Foxp2
LDHB	Exc_L6_Foxp2
MGAT4C	Exc_L6_Foxp2
MPPED1	Exc_L6_Foxp2
NCAM2	Exc_L6_Foxp2
NDUFA13	Exc_L6_Foxp2
NDUFAB1	Exc_L6_Foxp2
NDUFB10	Exc_L6_Foxp2
NDUFS5	Exc_L6_Foxp2
PCSK1N	Exc_L6_Foxp2
PDE4D	Exc_L6_Foxp2
PDIA6	Exc_L6_Foxp2
PFKP	Exc_L6_Foxp2
PISD	Exc_L6_Foxp2
PNMA8B	Exc_L6_Foxp2
PTPRT	Exc_L6_Foxp2
PURA	Exc_L6_Foxp2
RASGRF1	Exc_L6_Foxp2
RASL10A	Exc_L6_Foxp2
RPL18A	Exc_L6_Foxp2
RPL26	Exc_L6_Foxp2
RPL27	Exc_L6_Foxp2
RPS16	Exc_L6_Foxp2
RPS20	Exc_L6_Foxp2
RPS3A	Exc_L6_Foxp2
SARAF	Exc_L6_Foxp2
SERINC1	Exc_L6_Foxp2
SLC25A4	Exc_L6_Foxp2
SLC50A1	Exc_L6_Foxp2
SORCS3	Exc_L6_Foxp2
TENM2	Exc_L6_Foxp2
TMX2	Exc_L6_Foxp2
TOMM20	Exc_L6_Foxp2
TRHDE	Exc_L6_Foxp2
VWC2	Exc_L6_Foxp2
YWHAH	Exc_L6_Foxp2
ZNF804B	Exc_L6_Foxp2
ACTB	Exc_L2_Cux2
ACTG1	Exc_L2_Cux2
ASTN2	Exc_L2_Cux2
ATP5F1B	Exc_L2_Cux2
ATP6V0C	Exc_L2_Cux2
C5orf24	Exc_L2_Cux2
BRINP3	Exc_L2_Cux2
CACNA2D3	Exc_L2_Cux2
CHGB	Exc_L2_Cux2
CKB	Exc_L2_Cux2
COX5A	Exc_L2_Cux2
DCC	Exc_L2_Cux2
ERP29	Exc_L2_Cux2
FGFR2	Exc_L2_Cux2
FRRS1L	Exc_L2_Cux2
GRIA1	Exc_L2_Cux2
GRIK1	Exc_L2_Cux2
H3-3B	Exc_L2_Cux2
H3-5	Exc_L2_Cux2
HINT1	Exc_L2_Cux2
HS6ST3	Exc_L2_Cux2
ICAM5	Exc_L2_Cux2
KIRREL3	Exc_L2_Cux2
LY6H	Exc_L2_Cux2
MCTP1	Exc_L2_Cux2
MEIS2	Exc_L2_Cux2
NDUFB10	Exc_L2_Cux2
NFIB	Exc_L2_Cux2
NMT1	Exc_L2_Cux2
NXPH1	Exc_L2_Cux2
PAK6	Exc_L2_Cux2
POMP	Exc_L2_Cux2
PTCHD4	Exc_L2_Cux2
RER1	Exc_L2_Cux2
RPL15	Exc_L2_Cux2
RPL34	Exc_L2_Cux2
SELENOF	Exc_L2_Cux2
SELENOK	Exc_L2_Cux2
SGCD	Exc_L2_Cux2
SHTN1	Exc_L2_Cux2
SLC24A2	Exc_L2_Cux2
SLC25A4	Exc_L2_Cux2
SMOC2	Exc_L2_Cux2
SNRPN	Exc_L2_Cux2
SON	Exc_L2_Cux2
SOX6	Exc_L2_Cux2
STMN3	Exc_L2_Cux2
VGF	Exc_L2_Cux2
NCBP2AS2	Micro_C1qc
KIAA1143	Micro_C1qc
C1orf53	Micro_C1qc
C1orf174	Micro_C1qc
AASDHPPT	Micro_C1qc
ABCB10	Micro_C1qc
ABLIM1	Micro_C1qc
ACTB	Micro_C1qc
ACTR10	Micro_C1qc
ACTR1B	Micro_C1qc
ACVR1B	Micro_C1qc
ACVR2A	Micro_C1qc
ACYP2	Micro_C1qc
ADRM1	Micro_C1qc
AFF1	Micro_C1qc
AGPAT3	Micro_C1qc
AHCYL2	Micro_C1qc
AHSA1	Micro_C1qc
AIMP2	Micro_C1qc
AIP	Micro_C1qc
ALG10	Micro_C1qc
ALG10B	Micro_C1qc
ALKBH5	Micro_C1qc
ANK1	Micro_C1qc
ANKRD12	Micro_C1qc
ANKRD24	Micro_C1qc
ANKRD54	Micro_C1qc
ANXA7	Micro_C1qc
AP1S1	Micro_C1qc
AP2A2	Micro_C1qc
APH1A	Micro_C1qc
APOBEC3H	Micro_C1qc
ARAP2	Micro_C1qc
ARHGAP24	Micro_C1qc
ARHGDIA	Micro_C1qc
ARMC8	Micro_C1qc
ARMC9	Micro_C1qc
ARPC3	Micro_C1qc
ARPC4	Micro_C1qc
ARPC5L	Micro_C1qc
ARPP19	Micro_C1qc
ARSB	Micro_C1qc
ATP13A2	Micro_C1qc
ATP2B1	Micro_C1qc
ATP6AP1	Micro_C1qc
ATP6V1B2	Micro_C1qc
ATP6V1C1	Micro_C1qc
ATP5IF1	Micro_C1qc
ATR	Micro_C1qc
ATRAID	Micro_C1qc
B9D2	Micro_C1qc
BAG5	Micro_C1qc
BAG6	Micro_C1qc
BAX	Micro_C1qc
BBS4	Micro_C1qc
BCAP29	Micro_C1qc
BCAP31	Micro_C1qc
BCAS2	Micro_C1qc
BCL6	Micro_C1qc
BEND6	Micro_C1qc
BOLA1	Micro_C1qc
BPTF	Micro_C1qc
BRK1	Micro_C1qc
BRWD3	Micro_C1qc
BTD	Micro_C1qc
BZW2	Micro_C1qc
C1GALT1C1	Micro_C1qc
C2CD5	Micro_C1qc
CABLES2	Micro_C1qc
CACUL1	Micro_C1qc
CALM2	Micro_C1qc
CAPNS1	Micro_C1qc
CBWD5	Micro_C1qc
CBWD3	Micro_C1qc
CBWD6	Micro_C1qc
CCDC25	Micro_C1qc
CCDC28A	Micro_C1qc
CCDC88A	Micro_C1qc
CCT3	Micro_C1qc
CCT8	Micro_C1qc
POLR1G	Micro_C1qc
CD63	Micro_C1qc
CDC37	Micro_C1qc
CDK8	Micro_C1qc
CDPF1	Micro_C1qc
CDS2	Micro_C1qc
CENPV	Micro_C1qc
CFAP20	Micro_C1qc
CHCHD1	Micro_C1qc
CHCHD7	Micro_C1qc
CHD4	Micro_C1qc
CHID1	Micro_C1qc
CHKB	Micro_C1qc
CKAP5	Micro_C1qc
CLCN3	Micro_C1qc
CLCN4	Micro_C1qc
CLDND1	Micro_C1qc
CLPTM1L	Micro_C1qc
CLTC	Micro_C1qc
CLUH	Micro_C1qc
COPS6	Micro_C1qc
COQ10A	Micro_C1qc
COX14	Micro_C1qc
COX19	Micro_C1qc
COX6A1	Micro_C1qc
CPOX	Micro_C1qc
CREBZF	Micro_C1qc
CRTC1	Micro_C1qc
CSTB	Micro_C1qc
CTDNEP1	Micro_C1qc
DAP3	Micro_C1qc
DAPK3	Micro_C1qc
DCAF1	Micro_C1qc
DCTN4	Micro_C1qc
DCTPP1	Micro_C1qc
DDX27	Micro_C1qc
DGKH	Micro_C1qc
DHTKD1	Micro_C1qc
DLGAP1	Micro_C1qc
DMXL2	Micro_C1qc
DNAJB11	Micro_C1qc
DNAJB4	Micro_C1qc
DNAJC7	Micro_C1qc
DNM3	Micro_C1qc
DPH7	Micro_C1qc
DTD1	Micro_C1qc
DTX3	Micro_C1qc
DYNLRB1	Micro_C1qc
E2F5	Micro_C1qc
EBPL	Micro_C1qc
ECH1	Micro_C1qc
EEF1AKMT1	Micro_C1qc
EEF1D	Micro_C1qc
EEF1G	Micro_C1qc
EIF1AX	Micro_C1qc
EIF3C	Micro_C1qc
EIF3CL	Micro_C1qc
EIF3F	Micro_C1qc
EIF4A1	Micro_C1qc
ELAVL4	Micro_C1qc
ELOF1	Micro_C1qc
EMC8	Micro_C1qc
EPS8L1	Micro_C1qc
ERGIC2	Micro_C1qc
ESD	Micro_C1qc
ETHE1	Micro_C1qc
EXOSC8	Micro_C1qc
FAIM	Micro_C1qc
FAM3C	Micro_C1qc
FAM98C	Micro_C1qc
FARS2	Micro_C1qc
FBXO22	Micro_C1qc
FBXO25	Micro_C1qc
FBXO45	Micro_C1qc
FBXW7	Micro_C1qc
FKBP4	Micro_C1qc
FNBP1L	Micro_C1qc
G3BP2	Micro_C1qc
GAB1	Micro_C1qc
GATAD1	Micro_C1qc
GATM	Micro_C1qc
GCA	Micro_C1qc
GEMIN7	Micro_C1qc
GK3P	Micro_C1qc
GK	Micro_C1qc
GM2A	Micro_C1qc
GMPR	Micro_C1qc
GPAT4	Micro_C1qc
GPRASP1	Micro_C1qc
GRINA	Micro_C1qc
GRM3	Micro_C1qc
GTF2H5	Micro_C1qc
GTPBP3	Micro_C1qc
HLA-DMB	Micro_C1qc
H3-3B	Micro_C1qc
H3-5	Micro_C1qc
HACD3	Micro_C1qc
HAGH	Micro_C1qc
HAX1	Micro_C1qc
HDAC11	Micro_C1qc
HDGFL2	Micro_C1qc
HECA	Micro_C1qc
HES1	Micro_C1qc
HEXIM1	Micro_C1qc
HGS	Micro_C1qc
HGSNAT	Micro_C1qc
HIGD2A	Micro_C1qc
HIGD2B	Micro_C1qc
HK2	Micro_C1qc
HNRNPA0	Micro_C1qc
HNRNPD	Micro_C1qc
HSD17B11	Micro_C1qc
HSPA5	Micro_C1qc
HSPA9	Micro_C1qc
HYOU1	Micro_C1qc
IDH3B	Micro_C1qc
IER5	Micro_C1qc
IGF1R	Micro_C1qc
IGIP	Micro_C1qc
IGSF6	Micro_C1qc
IL10RA	Micro_C1qc
IL1RAP	Micro_C1qc
IMP3	Micro_C1qc
ITPA	Micro_C1qc
JOSD1	Micro_C1qc
JPT1	Micro_C1qc
KANSL1L	Micro_C1qc
KCNMA1	Micro_C1qc
KHSRP	Micro_C1qc
KIF1B	Micro_C1qc
KLF13	Micro_C1qc
KLHL11	Micro_C1qc
KLHL2	Micro_C1qc
KLHL23	Micro_C1qc
KLHL8	Micro_C1qc
KMT2A	Micro_C1qc
KPTN	Micro_C1qc
LANCL1	Micro_C1qc
LAPTM4A	Micro_C1qc
LARS2	Micro_C1qc
LEPROTL1	Micro_C1qc
LGALS8	Micro_C1qc
LIN37	Micro_C1qc
LMNB1	Micro_C1qc
LONRF1	Micro_C1qc
LPCAT1	Micro_C1qc
LPGAT1	Micro_C1qc
LPP	Micro_C1qc
LRRC8A	Micro_C1qc
LSM4	Micro_C1qc
LYPD6	Micro_C1qc
LYPLA2	Micro_C1qc
LYSMD4	Micro_C1qc
MAF1	Micro_C1qc
MAGOH	Micro_C1qc
MAP3K12	Micro_C1qc
MAP3K14	Micro_C1qc
MATK	Micro_C1qc
MBLAC2	Micro_C1qc
MBOAT7	Micro_C1qc
MCAT	Micro_C1qc
MCFD2	Micro_C1qc
MCL1	Micro_C1qc
MCTP1	Micro_C1qc
ME2	Micro_C1qc
MED21	Micro_C1qc
MED24	Micro_C1qc
MED31	Micro_C1qc
MFF	Micro_C1qc
MIGA2	Micro_C1qc
MINDY2	Micro_C1qc
MINPP1	Micro_C1qc
MKRN2	Micro_C1qc
MPG	Micro_C1qc
MPHOSPH8	Micro_C1qc
MPPE1	Micro_C1qc
MRPL13	Micro_C1qc
MRPL15	Micro_C1qc
MRPL16	Micro_C1qc
MRPL19	Micro_C1qc
MRPL22	Micro_C1qc
MRPL27	Micro_C1qc
MRPL32	Micro_C1qc
MRPL42	Micro_C1qc
MRPL43	Micro_C1qc
MRPL46	Micro_C1qc
MRPL51	Micro_C1qc
MRPL54	Micro_C1qc
MRPL9	Micro_C1qc
MRPS14	Micro_C1qc
MRPS25	Micro_C1qc
MRPS7	Micro_C1qc
MSRA	Micro_C1qc
MUL1	Micro_C1qc
MYO18B	Micro_C1qc
NACA	Micro_C1qc
NAT8	Micro_C1qc
NAT8B	Micro_C1qc
NAV3	Micro_C1qc
NCOA7	Micro_C1qc
NDC1	Micro_C1qc
NDFIP2	Micro_C1qc
NDUFA6	Micro_C1qc
NDUFA7	Micro_C1qc
NDUFAF3	Micro_C1qc
NDUFAF5	Micro_C1qc
NDUFAF8	Micro_C1qc
NECAP1	Micro_C1qc
NEU1	Micro_C1qc
NFIX	Micro_C1qc
NIN	Micro_C1qc
NLK	Micro_C1qc
NMT2	Micro_C1qc
NOMO3	Micro_C1qc
NOMO2	Micro_C1qc
NOMO1	Micro_C1qc
NR6A1	Micro_C1qc
NT5M	Micro_C1qc
NUAK1	Micro_C1qc
NUDT4	Micro_C1qc
NUDT4B	Micro_C1qc
NUP50	Micro_C1qc
NUS1	Micro_C1qc
OAZ2	Micro_C1qc
OCIAD1	Micro_C1qc
OMA1	Micro_C1qc
ORC6	Micro_C1qc
OSBPL1A	Micro_C1qc
OSCP1	Micro_C1qc
OTUB1	Micro_C1qc
PAFAH1B2	Micro_C1qc
PAIP2B	Micro_C1qc
PBX1	Micro_C1qc
PCGF5	Micro_C1qc
PCID2	Micro_C1qc
PCNX1	Micro_C1qc
PCNX4	Micro_C1qc
PCOLCE2	Micro_C1qc
PCYOX1	Micro_C1qc
PDCD4	Micro_C1qc
PDCD5	Micro_C1qc
PDE8B	Micro_C1qc
PDHA1	Micro_C1qc
PDIA3	Micro_C1qc
PEA15	Micro_C1qc
PFKL	Micro_C1qc
PGP	Micro_C1qc
PHB	Micro_C1qc
PHB2	Micro_C1qc
PHRF1	Micro_C1qc
PIGF	Micro_C1qc
PIGS	Micro_C1qc
PIK3CG	Micro_C1qc
PJA2	Micro_C1qc
PLA2G15	Micro_C1qc
PLEKHG5	Micro_C1qc
PLPP1	Micro_C1qc
PLPP5	Micro_C1qc
PLXNA4	Micro_C1qc
PMVK	Micro_C1qc
PNKD	Micro_C1qc
PNPLA8	Micro_C1qc
POLR1C	Micro_C1qc
POLR2K	Micro_C1qc
POMT2	Micro_C1qc
PON2	Micro_C1qc
PPAT	Micro_C1qc
PPM1D	Micro_C1qc
PPP1CA	Micro_C1qc
PPP1R35	Micro_C1qc
PPP2CA	Micro_C1qc
PPP3CA	Micro_C1qc
PRAG1	Micro_C1qc
PREPL	Micro_C1qc
PRKG1	Micro_C1qc
PRMT2	Micro_C1qc
PSD3	Micro_C1qc
PSENEN	Micro_C1qc
PSMA4	Micro_C1qc
PSMA6	Micro_C1qc
PSMB1	Micro_C1qc
PSMC3	Micro_C1qc
PTCH1	Micro_C1qc
PTGFRN	Micro_C1qc
PUM2	Micro_C1qc
PURG	Micro_C1qc
R3HDM1	Micro_C1qc
R3HDM4	Micro_C1qc
RAB11FIP2	Micro_C1qc
RAB18	Micro_C1qc
RAB1B	Micro_C1qc
RAB39A	Micro_C1qc
RAB40C	Micro_C1qc
TGIF2-RAB5IF	Micro_C1qc
RAB5IF	Micro_C1qc
RAB6B	Micro_C1qc
RABIF	Micro_C1qc
RACK1	Micro_C1qc
RAD23A	Micro_C1qc
RAD23B	Micro_C1qc
RALGAPB	Micro_C1qc
RAP2C	Micro_C1qc
RBM8A	Micro_C1qc
RCE1	Micro_C1qc
RCN2	Micro_C1qc
RDH14	Micro_C1qc
RELL1	Micro_C1qc
RER1	Micro_C1qc
REV3L	Micro_C1qc
REXO2	Micro_C1qc
RFXAP	Micro_C1qc
RGS10	Micro_C1qc
RGS7BP	Micro_C1qc
RIC8A	Micro_C1qc
RNF126	Micro_C1qc
